",e",en,he,ar,
Go to Login page,Go to Login page,מעבר לדף כניסה,,
Stay here,Stay here,הישאר כאן,,
"Email or phone are already in use, would you like to login?","Email or phone are already in use, would you like to login?",קיים כבר חשבון ובו האימייל או הטלפון. תרצו לעבור לדף הכניסה?,,
Birth date is required,Birth date is required,שדה חובה,,
"is taken, please try another","is taken, please try another","תפוס, אנא נסו שוב",,
whatsAppNotWorking,,,,
Please select your consultant,Please select your consultant,נא לבחור יועצת,,
no whatsapp permsission,Your whatsapp does not permit this action. ,הטלפון שלך אינו מאפשר פעילות זו,,
Please copy link,"Please click copy, open the whatsapp and paste","לחצ.י על העתק , והדביקי בווטסאפ",,
Got it,Got it,הבנתי,,
